name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M574T872,574.012117982015,871.5015,1311.64178378378,1680.44226315789,1378.98246428571,1989.10615384615
M575T609,574.994487993669,609.448,3870.08166666669,5368.62173684208,6353.48822727274,6133.60820000002
M576T610,575.996379540974,609.8195,769.264636363637,1152.30715384615,1337.4955,1237.787
M577T854,577.013281934596,854.183,1681.73958333333,1828.882,3110.77229411765,3478.7653442623
M577T955,577.141142430122,954.519,824.619130434786,1731.12705263158,1399.69432608695,1446.64603448276
M577T876,577.1907469783,875.8365,515.371999999997,613.980000000003,804.485714285716,958.055000000007
M578T296,578.346423245978,296.3915,4157.17269230769,4284.57107692308,4076.894,3731.05768965518
M578T321,578.347051334098,320.93,2203.014,1196.31272727273,1447.70908333334,1310.64833333333
M579T875,579.030804407003,875.2915,157906.2638,227695.817904761,281203.854439024,291754.978238096
M579T276,579.124455645277,276.0675,2890.79111842105,5247.80352380953,4806.226,5314.28964705882
